time,auc
1.000000,0.6191683569979716
2.000000,0.8118965517241379
3.000000,0.852
4.000000,0.7642105263157895
5.000000,0.7451327433628319
6.000000,0.8510714285714285
7.000000,0.9061588921282798
8.000000,0.9069681926824784
9.000000,0.8883116883116884
10.000000,0.9397727272727273
11.000000,0.8998065764023211
12.000000,0.9283622877220379
13.000000,0.904268049461508
14.000000,0.8760064412238325
15.000000,0.9181227143437627
16.000000,0.8993027071369974
17.000000,0.9031055900621118
18.000000,0.9011640211640212
19.000000,0.9134615384615384
20.000000,0.956202804746494
21.000000,0.9300529567519858
22.000000,0.9374576653872206
23.000000,0.9386684906520748
24.000000,0.9431268708266175
25.000000,0.946016030174446
26.000000,0.9276190476190477
27.000000,0.9434146341463415
28.000000,0.9251047055925105
29.000000,0.9409090909090909
30.000000,0.9420918367346939
31.000000,0.93432757718472
32.000000,0.9373513084853291
33.000000,0.9457799145299145
34.000000,0.9244264507422402
35.000000,0.9266230223677032
36.000000,0.9440089585666294
37.000000,0.934634974533107
38.000000,0.9213386727688788
39.000000,0.9256756756756757
40.000000,0.9328779328779329
41.000000,0.9486486486486487
42.000000,0.9347099908897661
43.000000,0.9378901373283396
44.000000,0.9354735152487962
45.000000,0.9538961038961038
46.000000,0.9491978609625669
47.000000,0.9631507775524003
48.000000,0.9595959595959596
49.000000,0.9559548978153629
50.000000,0.9563953488372092
51.000000,0.9647058823529412
52.000000,0.9590773809523809
53.000000,0.967357910906298
54.000000,0.9525845316750875
55.000000,0.9649881982690796
56.000000,0.9569105691056911
57.000000,0.9572016460905348
58.000000,0.9545833333333333
59.000000,0.9641350210970465
60.000000,0.9705128205128204
61.000000,0.9482758620689656
62.000000,0.9642857142857142
63.000000,0.9710351377018043
64.000000,0.9716209716209716
65.000000,0.9585769980506822
66.000000,0.9665991902834008
67.000000,0.9702564102564102
68.000000,0.9703742203742204
69.000000,0.969968387776607
70.000000,0.9572602739726027
71.000000,0.9716666666666667
72.000000,0.9658564814814814
73.000000,0.9788647342995169
74.000000,0.971830985915493
75.000000,0.9737516005121638
76.000000,0.9759740259740259
77.000000,0.9795783926218709
78.000000,0.9841269841269841
79.000000,0.9747899159663864
80.000000,0.9779411764705882
81.000000,0.9761194029850746
82.000000,0.9709347996857816
83.000000,0.9816586921850079
84.000000,0.9781376518218623
85.000000,0.9803418803418804
86.000000,0.9791855203619909
87.000000,0.9761029411764706
88.000000,0.9729225023342669
89.000000,0.9791271347248577
90.000000,0.9739633558341368
91.000000,0.978483606557377
92.000000,0.9822916666666667
93.000000,0.9811111111111112
94.000000,0.9807909604519773
95.000000,0.9818401937046005
96.000000,0.979064039408867
97.000000,0.9774436090225563
98.000000,0.9716599190283401
99.000000,0.9619883040935672
100.000000,0.9821428571428572
101.000000,0.9787878787878788
102.000000,0.9814814814814815
103.000000,0.9858490566037736
104.000000,0.9951923076923077
105.000000,0.9983660130718954
106.000000,0.9982174688057041
107.000000,0.9941176470588236
108.000000,0.992
109.000000,0.9918367346938776
110.000000,0.9909297052154196
111.000000,0.9884259259259259
112.000000,0.9905437352245863
113.000000,0.9920212765957447
114.000000,0.9945652173913044
115.000000,0.9972222222222222
116.000000,0.980952380952381
117.000000,1.0
118.000000,1.0
119.000000,0.9922480620155039
120.000000,1.0
121.000000,1.0
122.000000,1.0
123.000000,1.0
124.000000,1.0
125.000000,1.0
126.000000,1.0
127.000000,1.0
128.000000,1.0
129.000000,1.0
130.000000,1.0
131.000000,1.0
132.000000,1.0
133.000000,1.0
134.000000,1.0
135.000000,1.0
136.000000,1.0
137.000000,1.0
138.000000,None
139.000000,None
140.000000,None
141.000000,None
142.000000,None
143.000000,None
144.000000,None
145.000000,None
146.000000,None
147.000000,None
148.000000,None
149.000000,None
150.000000,None
151.000000,None
152.000000,None
153.000000,None
154.000000,None
155.000000,None
156.000000,None
157.000000,None
158.000000,None
159.000000,None
160.000000,None
161.000000,None
162.000000,None
163.000000,None
164.000000,None
165.000000,None
166.000000,None
167.000000,None
168.000000,None
