time,auc
1.000000,0.4575726842461122
2.000000,0.5531116794543904
3.000000,0.5547826086956522
4.000000,0.8421052631578947
5.000000,0.809702828499821
6.000000,0.7788742690058478
7.000000,0.7988569321533924
8.000000,0.7158727170024477
9.000000,0.8134498480243162
10.000000,0.8604425465838509
11.000000,0.7982765374069722
12.000000,0.866403162055336
13.000000,0.868568009573195
14.000000,0.8303771661569828
15.000000,0.8988740617180985
16.000000,0.9019360269360269
17.000000,0.8623619371282923
18.000000,0.8867924528301887
19.000000,0.9181658622202721
20.000000,0.8086378737541527
21.000000,0.9122448979591837
22.000000,0.9065934065934066
23.000000,0.9148686679174484
24.000000,0.9540865384615385
25.000000,0.9286407766990291
26.000000,0.9384803921568627
27.000000,0.9311881188118812
28.000000,0.8982500000000001
29.000000,0.9264102564102565
30.000000,0.8981578947368422
31.000000,0.944864864864865
32.000000,0.9118209118209119
33.000000,0.9508978675645341
34.000000,0.9461451247165533
35.000000,0.917201166180758
36.000000,0.9354741896758704
37.000000,0.9445118253486962
38.000000,0.9626225490196079
39.000000,0.9324494949494949
40.000000,0.9348958333333333
41.000000,0.9473684210526316
42.000000,0.9112367021276596
43.000000,0.9653397391901167
44.000000,0.9524800554977454
45.000000,0.9580645161290323
46.000000,0.9550724637681159
47.000000,0.9472527472527473
48.000000,0.9658961727927245
49.000000,0.9662835249042145
50.000000,0.9802402169701667
51.000000,0.9651253918495297
52.000000,0.9602272727272727
53.000000,0.9811165845648604
54.000000,0.9565772669220944
55.000000,0.9440137812230835
56.000000,0.9677996422182469
57.000000,0.9914027149321267
58.000000,0.9807058823529411
59.000000,0.9745098039215687
60.000000,0.9769820971867008
61.000000,0.9710144927536233
62.000000,0.9431818181818183
63.000000,0.9895947426067908
64.000000,0.9862306368330465
65.000000,0.9970963995354238
66.000000,0.9902439024390244
67.000000,0.993581514762516
68.000000,0.9974009096816114
69.000000,0.9960526315789474
70.000000,0.9902777777777777
71.000000,0.9676511954992968
72.000000,1.0
73.000000,1.0
74.000000,1.0
75.000000,1.0
76.000000,1.0
77.000000,1.0
78.000000,1.0
79.000000,1.0
80.000000,1.0
81.000000,1.0
82.000000,1.0
83.000000,1.0
84.000000,1.0
85.000000,1.0
86.000000,1.0
87.000000,1.0
88.000000,1.0
89.000000,1.0
90.000000,1.0
91.000000,1.0
92.000000,1.0
93.000000,1.0
94.000000,1.0
95.000000,1.0
96.000000,1.0
97.000000,1.0
98.000000,1.0
99.000000,1.0
100.000000,1.0
101.000000,1.0
102.000000,1.0
103.000000,1.0
104.000000,1.0
105.000000,1.0
106.000000,1.0
107.000000,1.0
108.000000,1.0
109.000000,1.0
110.000000,1.0
111.000000,1.0
112.000000,1.0
113.000000,1.0
114.000000,1.0
115.000000,1.0
116.000000,1.0
117.000000,1.0
118.000000,1.0
119.000000,1.0
120.000000,1.0
121.000000,1.0
122.000000,1.0
123.000000,1.0
124.000000,1.0
125.000000,1.0
126.000000,1.0
127.000000,1.0
128.000000,1.0
129.000000,1.0
130.000000,1.0
131.000000,1.0
132.000000,None
133.000000,None
134.000000,None
135.000000,None
136.000000,None
137.000000,None
138.000000,None
139.000000,None
140.000000,None
141.000000,None
142.000000,None
143.000000,None
144.000000,None
145.000000,None
146.000000,None
147.000000,None
148.000000,None
149.000000,None
150.000000,None
151.000000,None
152.000000,None
153.000000,None
154.000000,None
155.000000,None
156.000000,None
157.000000,None
158.000000,None
159.000000,None
160.000000,None
161.000000,None
162.000000,None
163.000000,None
164.000000,None
165.000000,None
166.000000,None
167.000000,None
168.000000,None
