time,auc
1.000000,0.652129817444219
2.000000,0.8298275862068966
3.000000,0.7984347826086956
4.000000,0.769298245614035
5.000000,0.8219469026548673
6.000000,0.8914574679429295
7.000000,0.8720501474926253
8.000000,0.8852306547619048
9.000000,0.84253003003003
10.000000,0.9255681818181819
11.000000,0.9115061162079511
12.000000,0.9079861111111112
13.000000,0.9114096573208722
14.000000,0.9371644462119706
15.000000,0.9221196306704135
16.000000,0.9335359675785208
17.000000,0.9269639934533551
18.000000,0.9195234113712375
19.000000,0.9349936682144365
20.000000,0.9225458468176915
21.000000,0.9300653594771241
22.000000,0.8776677667766777
23.000000,0.9075157515751575
24.000000,0.9225
25.000000,0.9102387511478421
26.000000,0.9351656095842142
27.000000,0.9326056003796868
28.000000,0.9359865739630784
29.000000,0.9459786821705426
30.000000,0.9412484700122399
31.000000,0.9359228104898565
32.000000,0.948737184296074
33.000000,0.9385743174924165
34.000000,0.9552772808586762
35.000000,0.9293563579277865
36.000000,0.9423746984722594
37.000000,0.9531165311653117
38.000000,0.9488888888888889
39.000000,0.9542134831460674
40.000000,0.9616477272727272
41.000000,0.953448275862069
42.000000,0.9578544061302683
43.000000,0.9661222020568663
44.000000,0.9583843329253365
45.000000,0.961609907120743
46.000000,0.9627192982456141
47.000000,0.9641724793912493
48.000000,0.9557147508954738
49.000000,0.9467871485943774
50.000000,0.9542682926829269
51.000000,0.9674211248285323
52.000000,0.9626102292768959
53.000000,0.9667857142857142
54.000000,0.9658088235294118
55.000000,0.9687267311988086
56.000000,0.9597238204833141
57.000000,0.9632120253164557
58.000000,0.9643429487179487
59.000000,0.9681555004135649
60.000000,0.9606200251361542
61.000000,0.9645021645021645
62.000000,0.9578947368421052
63.000000,0.9677858439201452
64.000000,0.9656954887218046
65.000000,0.9671428571428571
66.000000,0.9674074074074074
67.000000,0.9676923076923076
68.000000,0.962058212058212
69.000000,0.9731296101159115
70.000000,0.9631410256410255
71.000000,0.9664138678223186
72.000000,0.9653846153846154
73.000000,0.9665551839464883
74.000000,0.9686956521739131
75.000000,0.97
76.000000,0.9653731343283583
77.000000,0.9727272727272728
78.000000,0.9722222222222222
79.000000,0.9717948717948719
80.000000,0.9680989583333334
81.000000,0.970108695652174
82.000000,0.9723947550034506
83.000000,0.9682539682539684
84.000000,0.9667422524565381
85.000000,0.9746543778801844
86.000000,0.9797033567525371
87.000000,0.9737704918032787
88.000000,0.9774999999999999
89.000000,0.9859649122807017
90.000000,0.9848349687778768
91.000000,0.9818511796733213
92.000000,0.984302862419206
93.000000,0.9844054580896686
94.000000,0.9824561403508771
95.000000,0.981359649122807
96.000000,0.984375
97.000000,0.9784090909090909
98.000000,0.9826388888888888
99.000000,0.971604938271605
100.000000,0.9775132275132276
101.000000,0.9757412398921833
102.000000,0.9709724238026125
103.000000,0.9689349112426036
104.000000,0.9775641025641025
105.000000,0.9738562091503269
106.000000,0.9750445632798573
107.000000,0.9763636363636363
108.000000,0.9795918367346939
109.000000,0.9810606060606061
110.000000,0.99375
111.000000,0.9930555555555556
112.000000,0.9921875
113.000000,0.9867021276595744
114.000000,0.9945652173913044
115.000000,0.9972222222222222
116.000000,0.9943181818181819
117.000000,1.0
118.000000,1.0
119.000000,1.0
120.000000,1.0
121.000000,1.0
122.000000,1.0
123.000000,1.0
124.000000,1.0
125.000000,1.0
126.000000,1.0
127.000000,1.0
128.000000,1.0
129.000000,1.0
130.000000,1.0
131.000000,1.0
132.000000,1.0
133.000000,1.0
134.000000,1.0
135.000000,1.0
136.000000,1.0
137.000000,1.0
138.000000,1.0
139.000000,1.0
140.000000,1.0
141.000000,1.0
142.000000,1.0
143.000000,1.0
144.000000,1.0
145.000000,1.0
146.000000,None
147.000000,None
148.000000,None
149.000000,None
150.000000,None
151.000000,None
152.000000,None
153.000000,None
154.000000,None
155.000000,None
156.000000,None
157.000000,None
158.000000,None
159.000000,None
160.000000,None
161.000000,None
162.000000,None
163.000000,None
164.000000,None
165.000000,None
166.000000,None
167.000000,None
168.000000,None
